--- Trainig Metrics ---
Epoch [53/200], Train Loss: 0.3769, Train Accuracy: 85.65%, Val Loss: 0.5642, Val Accuracy: 75.31%
Epoch [54/200], Train Loss: 0.3732, Train Accuracy: 85.58%, Val Loss: 0.4669, Val Accuracy: 79.38%
Epoch [55/200], Train Loss: 0.3816, Train Accuracy: 84.49%, Val Loss: 0.4818, Val Accuracy: 77.97%
Epoch [56/200], Train Loss: 0.4256, Train Accuracy: 81.79%, Val Loss: 0.8150, Val Accuracy: 62.50%
Epoch [57/200], Train Loss: 0.4498, Train Accuracy: 79.87%, Val Loss: 0.7682, Val Accuracy: 66.72%
Epoch [58/200], Train Loss: 0.3971, Train Accuracy: 82.99%, Val Loss: 0.3901, Val Accuracy: 83.44%
Epoch [59/200], Train Loss: 0.3201, Train Accuracy: 88.44%, Val Loss: 0.4002, Val Accuracy: 83.12%
Epoch [60/200], Train Loss: 0.3201, Train Accuracy: 87.99%, Val Loss: 0.7624, Val Accuracy: 64.69%
Epoch [61/200], Train Loss: 0.3438, Train Accuracy: 86.29%, Val Loss: 0.5043, Val Accuracy: 80.00%
Epoch [62/200], Train Loss: 0.4342, Train Accuracy: 81.76%, Val Loss: 0.8319, Val Accuracy: 67.34%
Epoch [63/200], Train Loss: 0.4748, Train Accuracy: 79.91%, Val Loss: 0.4670, Val Accuracy: 79.38%
Epoch [64/200], Train Loss: 0.2917, Train Accuracy: 89.78%, Val Loss: 0.3734, Val Accuracy: 85.94%
Epoch [65/200], Train Loss: 0.2678, Train Accuracy: 90.87%, Val Loss: 0.5975, Val Accuracy: 71.56%
Epoch [66/200], Train Loss: 0.3416, Train Accuracy: 85.96%, Val Loss: 0.3599, Val Accuracy: 85.31%
Epoch [67/200], Train Loss: 0.3823, Train Accuracy: 82.86%, Val Loss: 0.5040, Val Accuracy: 78.59%
Epoch [68/200], Train Loss: 0.4407, Train Accuracy: 80.18%, Val Loss: 0.5544, Val Accuracy: 75.94%
Epoch [69/200], Train Loss: 0.3029, Train Accuracy: 88.30%, Val Loss: 0.4587, Val Accuracy: 78.75%
Epoch [70/200], Train Loss: 0.3959, Train Accuracy: 83.04%, Val Loss: 0.5931, Val Accuracy: 74.69%
Epoch [71/200], Train Loss: 0.4745, Train Accuracy: 80.87%, Val Loss: 0.4319, Val Accuracy: 82.81%
Epoch [72/200], Train Loss: 0.3191, Train Accuracy: 88.10%, Val Loss: 0.4847, Val Accuracy: 80.47%
Epoch [73/200], Train Loss: 0.3530, Train Accuracy: 85.89%, Val Loss: 0.4118, Val Accuracy: 80.94%
Epoch [74/200], Train Loss: 0.2766, Train Accuracy: 90.18%, Val Loss: 0.3336, Val Accuracy: 86.72%
Epoch [75/200], Train Loss: 0.2634, Train Accuracy: 90.36%, Val Loss: 0.8848, Val Accuracy: 59.84%
Epoch [76/200], Train Loss: 0.3797, Train Accuracy: 83.17%, Val Loss: 0.4322, Val Accuracy: 83.44%
Epoch [77/200], Train Loss: 0.2562, Train Accuracy: 91.07%, Val Loss: 0.3505, Val Accuracy: 85.78%
Epoch [78/200], Train Loss: 0.3296, Train Accuracy: 86.79%, Val Loss: 0.3537, Val Accuracy: 85.16%
Epoch [79/200], Train Loss: 0.2301, Train Accuracy: 92.50%, Val Loss: 0.2909, Val Accuracy: 87.81%
Epoch [80/200], Train Loss: 0.2293, Train Accuracy: 92.19%, Val Loss: 0.3030, Val Accuracy: 87.81%
Epoch [81/200], Train Loss: 0.2325, Train Accuracy: 91.76%, Val Loss: 0.2982, Val Accuracy: 88.12%
Epoch [82/200], Train Loss: 0.2121, Train Accuracy: 93.15%, Val Loss: 0.2797, Val Accuracy: 88.44%
Epoch [83/200], Train Loss: 0.2538, Train Accuracy: 90.22%, Val Loss: 0.4704, Val Accuracy: 79.38%
Epoch [84/200], Train Loss: 0.2473, Train Accuracy: 89.58%, Val Loss: 0.4169, Val Accuracy: 82.19%
Epoch [85/200], Train Loss: 0.1873, Train Accuracy: 94.24%, Val Loss: 0.2704, Val Accuracy: 90.62%
Epoch [86/200], Train Loss: 0.1699, Train Accuracy: 95.33%, Val Loss: 0.2546, Val Accuracy: 90.31%
Epoch [87/200], Train Loss: 0.1555, Train Accuracy: 96.21%, Val Loss: 0.3033, Val Accuracy: 87.50%
Epoch [88/200], Train Loss: 0.1815, Train Accuracy: 93.62%, Val Loss: 0.2546, Val Accuracy: 91.09%
Epoch [89/200], Train Loss: 0.1694, Train Accuracy: 94.67%, Val Loss: 0.2858, Val Accuracy: 88.12%
Epoch [90/200], Train Loss: 0.1688, Train Accuracy: 94.89%, Val Loss: 0.2619, Val Accuracy: 90.31%
Epoch [91/200], Train Loss: 0.3141, Train Accuracy: 86.47%, Val Loss: 0.2894, Val Accuracy: 88.75%
Epoch [92/200], Train Loss: 0.1968, Train Accuracy: 93.33%, Val Loss: 0.2713, Val Accuracy: 89.84%
Epoch [93/200], Train Loss: 0.1691, Train Accuracy: 94.49%, Val Loss: 0.2350, Val Accuracy: 91.41%
Epoch [94/200], Train Loss: 0.1958, Train Accuracy: 93.91%, Val Loss: 0.3592, Val Accuracy: 86.41%
Epoch [95/200], Train Loss: 0.9312, Train Accuracy: 79.53%, Val Loss: 0.9413, Val Accuracy: 80.16%
Epoch [96/200], Train Loss: 0.6106, Train Accuracy: 78.59%, Val Loss: 0.3923, Val Accuracy: 81.41%
Epoch [97/200], Train Loss: 0.4586, Train Accuracy: 85.96%, Val Loss: 0.4060, Val Accuracy: 86.25%
Epoch [98/200], Train Loss: 0.3665, Train Accuracy: 86.58%, Val Loss: 0.3944, Val Accuracy: 87.03%
Epoch [99/200], Train Loss: 0.2575, Train Accuracy: 92.83%, Val Loss: 0.3118, Val Accuracy: 89.22%
Epoch [100/200], Train Loss: 0.2756, Train Accuracy: 91.52%, Val Loss: 0.4810, Val Accuracy: 79.06%
Epoch [101/200], Train Loss: 0.3202, Train Accuracy: 87.59%, Val Loss: 0.3185, Val Accuracy: 88.28%
Epoch [102/200], Train Loss: 0.2164, Train Accuracy: 94.78%, Val Loss: 0.2915, Val Accuracy: 91.88%
Epoch [103/200], Train Loss: 0.1967, Train Accuracy: 95.42%, Val Loss: 0.3452, Val Accuracy: 85.31%
Epoch [104/200], Train Loss: 0.2120, Train Accuracy: 93.79%, Val Loss: 0.2642, Val Accuracy: 89.69%
Epoch [105/200], Train Loss: 0.1934, Train Accuracy: 95.02%, Val Loss: 0.2883, Val Accuracy: 90.47%
Epoch [106/200], Train Loss: 0.1877, Train Accuracy: 95.04%, Val Loss: 0.3582, Val Accuracy: 85.00%
Epoch [107/200], Train Loss: 0.2076, Train Accuracy: 93.26%, Val Loss: 0.3849, Val Accuracy: 84.06%
Epoch [108/200], Train Loss: 0.1884, Train Accuracy: 94.49%, Val Loss: 0.3827, Val Accuracy: 84.53%
Epoch [109/200], Train Loss: 0.2671, Train Accuracy: 89.33%, Val Loss: 0.2362, Val Accuracy: 91.72%
Epoch [110/200], Train Loss: 0.1624, Train Accuracy: 96.23%, Val Loss: 0.2776, Val Accuracy: 91.88%
Epoch [111/200], Train Loss: 0.1658, Train Accuracy: 95.38%, Val Loss: 0.2783, Val Accuracy: 90.78%
Epoch [112/200], Train Loss: 0.1362, Train Accuracy: 97.17%, Val Loss: 0.2744, Val Accuracy: 91.56%
Epoch [113/200], Train Loss: 0.1429, Train Accuracy: 96.61%, Val Loss: 0.3366, Val Accuracy: 87.81%
Epoch [114/200], Train Loss: 0.1683, Train Accuracy: 94.78%, Val Loss: 0.2277, Val Accuracy: 93.59%
Epoch [115/200], Train Loss: 0.1449, Train Accuracy: 96.38%, Val Loss: 0.2423, Val Accuracy: 89.22%
Epoch [116/200], Train Loss: 0.1548, Train Accuracy: 95.56%, Val Loss: 0.2629, Val Accuracy: 89.69%
Epoch [117/200], Train Loss: 0.1155, Train Accuracy: 97.95%, Val Loss: 0.1924, Val Accuracy: 94.69%
Epoch [118/200], Train Loss: 0.1097, Train Accuracy: 97.90%, Val Loss: 0.2556, Val Accuracy: 90.31%
Epoch [119/200], Train Loss: 0.2657, Train Accuracy: 90.18%, Val Loss: 0.3744, Val Accuracy: 84.69%
Epoch [120/200], Train Loss: 0.1751, Train Accuracy: 94.22%, Val Loss: 0.1908, Val Accuracy: 94.84%
Epoch [121/200], Train Loss: 0.0998, Train Accuracy: 98.44%, Val Loss: 0.2327, Val Accuracy: 92.66%
Epoch [122/200], Train Loss: 0.0956, Train Accuracy: 98.55%, Val Loss: 0.1757, Val Accuracy: 95.31%
Epoch [123/200], Train Loss: 0.0917, Train Accuracy: 98.50%, Val Loss: 0.2348, Val Accuracy: 92.19%
Epoch [124/200], Train Loss: 0.0979, Train Accuracy: 98.21%, Val Loss: 0.2375, Val Accuracy: 92.03%
Epoch [125/200], Train Loss: 0.0922, Train Accuracy: 98.53%, Val Loss: 0.3046, Val Accuracy: 88.12%
Epoch [126/200], Train Loss: 0.1804, Train Accuracy: 93.26%, Val Loss: 0.2742, Val Accuracy: 88.91%
Epoch [127/200], Train Loss: 0.3863, Train Accuracy: 83.55%, Val Loss: 0.5623, Val Accuracy: 78.44%
Epoch [128/200], Train Loss: 0.6573, Train Accuracy: 82.19%, Val Loss: 1.1448, Val Accuracy: 57.03%
Epoch [129/200], Train Loss: 0.3802, Train Accuracy: 85.85%, Val Loss: 0.5833, Val Accuracy: 73.59%
Epoch [130/200], Train Loss: 0.2163, Train Accuracy: 91.79%, Val Loss: 0.2338, Val Accuracy: 93.12%
Epoch [131/200], Train Loss: 0.1348, Train Accuracy: 97.61%, Val Loss: 0.1974, Val Accuracy: 94.69%
Epoch [132/200], Train Loss: 0.1297, Train Accuracy: 97.19%, Val Loss: 0.1952, Val Accuracy: 94.22%
Epoch [133/200], Train Loss: 0.1512, Train Accuracy: 96.03%, Val Loss: 0.2623, Val Accuracy: 89.06%
Epoch [134/200], Train Loss: 0.1279, Train Accuracy: 97.37%, Val Loss: 0.1754, Val Accuracy: 95.62%
Epoch [135/200], Train Loss: 0.0966, Train Accuracy: 99.00%, Val Loss: 0.2147, Val Accuracy: 92.34%
Epoch [136/200], Train Loss: 0.1167, Train Accuracy: 97.68%, Val Loss: 0.1764, Val Accuracy: 95.94%
Epoch [137/200], Train Loss: 0.0918, Train Accuracy: 98.88%, Val Loss: 0.1642, Val Accuracy: 96.41%
Epoch [138/200], Train Loss: 0.0907, Train Accuracy: 98.88%, Val Loss: 0.1694, Val Accuracy: 96.41%
Epoch [139/200], Train Loss: 0.0802, Train Accuracy: 99.17%, Val Loss: 0.1638, Val Accuracy: 96.25%
Epoch [140/200], Train Loss: 0.0772, Train Accuracy: 99.38%, Val Loss: 0.1823, Val Accuracy: 95.16%
Epoch [141/200], Train Loss: 0.0728, Train Accuracy: 99.20%, Val Loss: 0.1581, Val Accuracy: 95.00%
Epoch [142/200], Train Loss: 0.0772, Train Accuracy: 99.06%, Val Loss: 0.1885, Val Accuracy: 93.91%
Epoch [143/200], Train Loss: 0.0751, Train Accuracy: 99.02%, Val Loss: 0.1469, Val Accuracy: 96.56%
Epoch [144/200], Train Loss: 0.0737, Train Accuracy: 99.26%, Val Loss: 0.2009, Val Accuracy: 91.41%
Epoch [145/200], Train Loss: 0.0896, Train Accuracy: 98.12%, Val Loss: 0.1654, Val Accuracy: 95.47%
Epoch [146/200], Train Loss: 0.0650, Train Accuracy: 99.33%, Val Loss: 0.1376, Val Accuracy: 97.34%
Epoch [147/200], Train Loss: 0.0594, Train Accuracy: 99.44%, Val Loss: 0.1719, Val Accuracy: 94.53%
Epoch [148/200], Train Loss: 0.0646, Train Accuracy: 99.33%, Val Loss: 0.1561, Val Accuracy: 95.31%
Epoch [149/200], Train Loss: 0.0610, Train Accuracy: 99.40%, Val Loss: 0.1486, Val Accuracy: 94.38%
Epoch [150/200], Train Loss: 0.0642, Train Accuracy: 99.40%, Val Loss: 0.1491, Val Accuracy: 95.47%
Epoch [151/200], Train Loss: 0.0725, Train Accuracy: 98.86%, Val Loss: 0.1663, Val Accuracy: 95.31%
Epoch [152/200], Train Loss: 0.0618, Train Accuracy: 99.29%, Val Loss: 0.1467, Val Accuracy: 95.47%
Epoch [153/200], Train Loss: 0.0486, Train Accuracy: 99.60%, Val Loss: 0.1216, Val Accuracy: 97.50%
Epoch [154/200], Train Loss: 0.0452, Train Accuracy: 99.80%, Val Loss: 0.1346, Val Accuracy: 97.19%
Epoch [155/200], Train Loss: 0.0452, Train Accuracy: 99.73%, Val Loss: 0.1216, Val Accuracy: 97.66%
Epoch [156/200], Train Loss: 0.0432, Train Accuracy: 99.73%, Val Loss: 0.1238, Val Accuracy: 97.34%
Epoch [157/200], Train Loss: 0.0458, Train Accuracy: 99.62%, Val Loss: 0.1557, Val Accuracy: 94.84%
Epoch [158/200], Train Loss: 0.0464, Train Accuracy: 99.69%, Val Loss: 0.1291, Val Accuracy: 96.41%
Epoch [159/200], Train Loss: 0.3255, Train Accuracy: 89.17%, Val Loss: 0.4515, Val Accuracy: 80.94%
Epoch [160/200], Train Loss: 0.3083, Train Accuracy: 85.96%, Val Loss: 0.5294, Val Accuracy: 77.50%
Epoch [161/200], Train Loss: 0.2297, Train Accuracy: 90.13%, Val Loss: 0.1963, Val Accuracy: 95.62%
Epoch [162/200], Train Loss: 0.0946, Train Accuracy: 98.44%, Val Loss: 0.1442, Val Accuracy: 96.41%
Epoch [163/200], Train Loss: 0.0663, Train Accuracy: 99.51%, Val Loss: 0.1450, Val Accuracy: 96.72%
Epoch [164/200], Train Loss: 0.0573, Train Accuracy: 99.75%, Val Loss: 0.1471, Val Accuracy: 97.03%
Epoch [165/200], Train Loss: 0.0569, Train Accuracy: 99.73%, Val Loss: 0.1328, Val Accuracy: 97.50%
Epoch [166/200], Train Loss: 0.0585, Train Accuracy: 99.58%, Val Loss: 0.1276, Val Accuracy: 96.88%
Epoch [167/200], Train Loss: 0.0576, Train Accuracy: 99.64%, Val Loss: 0.1407, Val Accuracy: 96.88%
Epoch [168/200], Train Loss: 0.0529, Train Accuracy: 99.82%, Val Loss: 0.1194, Val Accuracy: 97.66%
Epoch [169/200], Train Loss: 0.0548, Train Accuracy: 99.62%, Val Loss: 0.1269, Val Accuracy: 97.50%
Epoch [170/200], Train Loss: 0.0654, Train Accuracy: 99.15%, Val Loss: 0.1794, Val Accuracy: 94.84%
Epoch [171/200], Train Loss: 0.0685, Train Accuracy: 98.82%, Val Loss: 0.2068, Val Accuracy: 92.66%
Epoch [172/200], Train Loss: 0.0558, Train Accuracy: 99.42%, Val Loss: 0.1222, Val Accuracy: 97.81%
Epoch [173/200], Train Loss: 0.0466, Train Accuracy: 99.64%, Val Loss: 0.1233, Val Accuracy: 97.66%
Epoch [174/200], Train Loss: 0.0536, Train Accuracy: 99.40%, Val Loss: 0.1475, Val Accuracy: 95.16%
Epoch [175/200], Train Loss: 0.2939, Train Accuracy: 86.45%, Val Loss: 0.1770, Val Accuracy: 94.38%
Epoch [176/200], Train Loss: 0.0755, Train Accuracy: 98.50%, Val Loss: 0.1229, Val Accuracy: 97.81%
Epoch [177/200], Train Loss: 0.0421, Train Accuracy: 99.78%, Val Loss: 0.1096, Val Accuracy: 97.66%
Epoch [178/200], Train Loss: 0.0452, Train Accuracy: 99.73%, Val Loss: 0.1265, Val Accuracy: 96.09%
Epoch [179/200], Train Loss: 0.0424, Train Accuracy: 99.69%, Val Loss: 0.1012, Val Accuracy: 98.28%
Epoch [180/200], Train Loss: 0.0351, Train Accuracy: 99.89%, Val Loss: 0.1416, Val Accuracy: 96.88%
Epoch [181/200], Train Loss: 0.0353, Train Accuracy: 99.82%, Val Loss: 0.1049, Val Accuracy: 97.50%
Epoch [182/200], Train Loss: 0.0311, Train Accuracy: 99.91%, Val Loss: 0.1001, Val Accuracy: 97.66%
Epoch [183/200], Train Loss: 0.0314, Train Accuracy: 99.93%, Val Loss: 0.1065, Val Accuracy: 97.34%
Epoch [184/200], Train Loss: 0.0320, Train Accuracy: 99.84%, Val Loss: 0.1174, Val Accuracy: 97.03%
Epoch [185/200], Train Loss: 0.0319, Train Accuracy: 99.87%, Val Loss: 0.1157, Val Accuracy: 97.19%
Epoch [186/200], Train Loss: 0.0359, Train Accuracy: 99.75%, Val Loss: 0.1248, Val Accuracy: 96.72%
Epoch [187/200], Train Loss: 0.0339, Train Accuracy: 99.75%, Val Loss: 0.0977, Val Accuracy: 97.97%
Epoch [188/200], Train Loss: 0.0249, Train Accuracy: 100.00%, Val Loss: 0.0990, Val Accuracy: 98.12%
